date, pm25, o3, no2, co
2019/3/19, 27, 500, 22, 
2019/3/20, 34, 500, 31, 
2019/3/21, 43, 500, 21, 
2019/3/22, 23, 500, 5, 
2019/3/23, 24, 402, 9, 
2019/3/24, 31, 392, 13, 
2019/3/25, 27, 500, 15, 
2019/3/26, 41, 500, 11, 
2019/3/27, 23, 500, 16, 
2019/3/28, 31, 500, 20, 
2019/3/29, 27, 500, 36, 
2019/3/30, 50, 500, 25, 
2019/3/31, 49, 500, 12, 
2019/4/1, 41, 500, 10, 
2018/10/2, 44, , , 
2018/10/3, 38, , , 
2018/10/4, 24, , , 
2018/10/5, 47, , , 
2018/10/6, 18, , , 
2018/10/7, 18, , , 
2018/10/8, 43, , , 
2018/10/9, 23, , , 
2018/10/10, 28, , , 
2018/10/11, 27, , , 
2018/10/12, 13, , , 
2018/10/13, 12, , , 
2018/10/14, 7, , , 
2018/10/15, 21, , , 
2018/10/16, 29, , , 
2018/10/17, 16, , , 
2018/10/18, 28, , , 
2018/10/19, 19, , , 
2018/10/20, 29, , , 
2018/10/21, 27, 23, 4, 1
2018/10/22, 23, 19, 18, 3
2018/10/23, 27, 24, 13, 2
2018/10/24, 32, 21, 8, 1
2018/10/25, 27, 15, 10, 2
2018/10/26, 22, 16, 16, 3
2018/10/27, 19, 24, 4, 1
2018/10/28, 16, , , 
2018/10/29, 22, , , 
2018/10/30, 31, , , 
2018/10/31, 42, , , 
2018/11/1, 52, , , 
2018/11/2, 59, , , 
2018/11/3, 35, , , 
2018/11/4, 28, , , 
2018/11/5, 24, , , 
2018/11/6, 20, , , 
2018/11/7, 32, , , 
2018/11/8, 39, , , 
2018/11/9, 46, 16, 10, 2
2018/11/10, 18, 24, 9, 2
2018/11/11, 26, 23, 13, 2
2018/11/12, 31, 18, 28, 6
2018/11/13, 46, 17, 20, 3
2018/11/14, 30, 24, 9, 1
2018/11/15, 27, 23, 10, 1
2018/11/16, 17, , , 
2018/11/17, 37, , , 
2018/11/18, 46, , , 
2018/11/19, 24, , , 
2018/11/20, 57, , , 
2018/11/21, 44, , , 
2018/11/22, 32, 26, 6, 1
2018/11/23, 24, 18, 20, 2
2018/11/24, 25, 18, 30, 5
2018/11/25, 33, 26, 15, 3
2018/11/26, 35, 27, 21, 4
2018/11/27, 33, 18, 11, 2
2018/11/28, 19, 11, 11, 2
2018/11/29, 27, , , 
2018/11/30, 30, , , 
2018/12/1, 41, , , 
2018/12/2, 41, , , 
2018/12/3, 37, , , 
2018/12/4, 34, , , 
2018/12/5, 31, , , 
2018/12/6, 30, , , 
2018/12/7, 40, , , 
2018/12/8, 42, , , 
2018/12/9, 39, , , 
2018/12/10, 36, , , 
2018/12/11, 44, , , 
2018/12/12, 51, , , 
2018/12/13, 56, , , 
2018/12/14, 49, , , 
2018/12/15, 45, , , 
2018/12/16, 57, , , 
2018/12/17, 33, , , 
2018/12/18, 32, , , 
2018/12/19, 34, , , 
2018/12/20, 43, , , 
2018/12/21, 49, , , 
2018/12/22, 46, , , 
2018/12/23, 44, , , 
2018/12/24, 38, , , 
2018/12/25, 45, , , 
2018/12/26, 36, , , 
2018/12/27, 49, , , 
2018/12/28, 48, , , 
2018/12/29, 38, , , 
2018/12/30, 35, , , 
2018/12/31, 42, , , 
2018/7/2, 74, 70, 16, 3
2018/7/3, 90, 39, 12, 2
2018/7/4, 91, 36, 7, 2
2018/7/5, 69, 21, 3, 1
2018/7/6, 26, 22, 7, 1
2018/7/7, 21, 23, 6, 1
2018/7/8, 9, , , 
2018/7/9, 22, , , 
2018/7/10, 32, , , 
2018/7/11, 51, 23, , 
2018/7/12, 45, 48, 11, 2
2018/7/13, 38, 40, 13, 2
2018/7/14, 43, 56, 9, 2
2018/7/15, 41, 46, 11, 2
2018/7/16, 38, 68, 20, 3
2018/7/17, 63, 38, 5, 2
2018/7/18, 46, , , 
2018/7/19, 22, , , 
2018/7/20, 20, , , 
2018/7/21, 27, , , 
2018/7/22, 13, , , 
2018/7/23, 23, , , 
2018/7/24, 29, , , 
2018/7/25, 23, , , 
2018/7/26, 15, , , 
2018/7/27, 21, , , 
2018/7/28, 53, , , 
2018/7/29, 46, , , 
2018/7/30, 26, , , 
2018/7/31, 39, , , 
2018/8/1, 31, , , 
2018/8/2, 36, , , 
2018/8/3, 32, , , 
2018/8/4, 31, , , 
2018/8/5, 20, , , 
2018/8/6, 51, , , 
2018/8/7, 70, , , 
2018/8/8, 56, , , 
2018/8/9, 53, , , 
2018/8/10, 40, , , 
2018/8/11, 60, , , 
2018/8/12, 41, , , 
2018/8/13, 31, , , 
2018/8/14, 23, , , 
2018/8/15, 29, 25, , 
2018/8/16, 53, 54, 15, 3
2018/8/17, 78, 47, 11, 3
2018/8/18, 72, 26, 12, 3
2018/8/19, 63, 20, , 
2018/8/20, 36, 22, , 
2018/8/21, 30, 27, 6, 2
2018/8/22, 15, 37, 6, 2
2018/8/23, 47, 26, 8, 2
2018/8/24, 38, 40, 15, 3
2018/8/25, 50, 39, 8, 2
2018/8/26, 36, 41, 7, 2
2018/8/27, 41, 20, 15, 3
2018/8/28, 69, , , 
2018/8/29, 88, , , 
2018/8/30, 101, , , 
2018/8/31, 34, , , 
2018/9/1, 17, , , 
2018/9/2, 19, , , 
2018/9/3, 32, , , 
2018/9/4, 46, , , 
2018/9/5, 36, , , 
2018/9/6, 46, , , 
2018/9/7, 50, , , 
2018/9/8, 22, , , 
2018/9/9, 18, , , 
2018/9/10, 9, , , 
2018/9/11, 8, , , 
2018/9/12, 52, , , 
2018/9/13, 38, , , 
2018/9/14, 18, , , 
2018/9/15, 17, , , 
2018/9/16, 28, , , 
2018/9/17, 37, , , 
2018/9/18, 24, , , 
2018/9/19, 19, , , 
2018/9/20, 36, , , 
2018/9/21, 14, , , 
2018/9/22, 11, , , 
2018/9/23, 19, , , 
2018/9/24, 16, , , 
2018/9/25, 19, , , 
2018/9/26, 19, , , 
2018/9/27, 27, , , 
2018/9/28, 11, , , 
2018/9/29, 18, , , 
2018/9/30, 29, , , 
2018/10/1, 20, , , 
2018/4/2, 28, , , 
2018/4/3, 31, , , 
2018/4/4, 25, , , 
2018/4/5, 38, , , 
2018/4/6, 31, , , 
2018/4/7, 40, , , 
2018/4/8, 22, , , 
2018/4/9, 24, , , 
2018/4/10, 30, , , 
2018/4/11, 37, , , 
2018/4/12, 40, , , 
2018/4/13, 55, , , 
2018/4/14, 63, , , 
2018/4/15, 56, , , 
2018/4/16, 15, , , 
2018/4/17, 31, , , 
2018/4/18, 23, , , 
2018/4/19, 26, , , 
2018/4/20, 32, , , 
2018/4/21, 29, , , 
2018/4/22, 27, , , 
2018/4/23, 29, , , 
2018/4/24, 58, , , 
2018/4/25, 31, , , 
2018/4/26, 28, , , 
2018/4/27, 38, , , 
2018/4/28, 30, , , 
2018/4/29, 43, , , 
2018/4/30, 28, , , 
2018/5/1, 28, , , 
2018/5/2, 47, , , 
2018/5/3, 53, , , 
2018/5/4, 62, 42, 12, 
2018/5/5, 56, 46, 10, 2
2018/5/6, 25, 39, 13, 2
2018/5/7, 33, 42, 16, 2
2018/5/8, 36, 43, 15, 2
2018/5/9, 34, 32, 17, 2
2018/5/10, 37, 30, 9, 2
2018/5/11, 24, , , 
2018/5/12, 28, , , 
2018/5/13, 26, , , 
2018/5/14, 17, , , 
2018/5/15, 28, , , 
2018/5/16, 52, , , 
2018/5/17, 30, , , 
2018/5/18, 42, , , 
2018/5/19, 29, , , 
2018/5/20, 21, , , 
2018/5/21, 29, , , 
2018/5/22, 29, 29, 20, 3
2018/5/23, 39, 34, 15, 3
2018/5/24, 35, 60, 14, 2
2018/5/25, 37, 67, 12, 2
2018/5/26, 52, 62, 13, 3
2018/5/27, 61, 38, 6, 2
2018/5/28, 32, 22, 7, 2
2018/5/29, 20, 48, 17, 3
2018/5/30, 54, 32, 8, 2
2018/5/31, 33, 25, 10, 2
2018/6/1, 38, 21, 15, 3
2018/6/2, 51, 45, 11, 2
2018/6/3, 43, 23, 3, 1
2018/6/4, 13, 27, 9, 1
2018/6/5, 21, 37, 12, 2
2018/6/6, 24, 24, 9, 1
2018/6/7, 21, 24, 9, 1
2018/6/8, 21, 18, 9, 1
2018/6/9, 43, , , 
2018/6/10, 49, , , 
2018/6/11, 32, , , 
2018/6/12, 23, , , 
2018/6/13, 24, , , 
2018/6/14, 38, , , 
2018/6/15, 27, , , 
2018/6/16, 16, , , 
2018/6/17, 42, 64, 11, 2
2018/6/18, 52, 44, 8, 2
2018/6/19, 63, 37, 15, 2
2018/6/20, 26, 36, 13, 2
2018/6/21, 26, 56, 20, 2
2018/6/22, 36, 35, 5, 1
2018/6/23, 29, 25, 4, 1
2018/6/24, 29, 35, 8, 2
2018/6/25, 64, 30, 8, 1
2018/6/26, 31, 28, 6, 1
2018/6/27, 19, 30, 6, 1
2018/6/28, 14, , , 
2018/6/29, 39, 30, , 
2018/6/30, 35, 66, 15, 3
2018/7/1, 52, 80, 15, 3
2018/1/2, 54, , , 
2018/1/3, 56, , , 
2018/1/4, 61, , , 
2018/1/5, 44, , , 
2018/1/6, 48, , , 
2018/1/7, 49, , , 
2018/1/8, 51, , , 
2018/1/9, 65, , , 
2018/1/10, 61, , , 
2018/1/11, 54, , , 
2018/1/12, 75, , , 
2018/1/13, 38, , , 
2018/1/14, 46, , , 
2018/1/15, 43, , , 
2018/1/16, 45, , , 
2018/1/17, 57, , , 
2018/1/18, 61, , , 
2018/1/19, 58, , , 
2018/1/20, 61, , , 
2018/1/21, 56, , , 
2018/1/22, 64, , , 
2018/1/23, 76, , , 
2018/1/24, 43, , , 
2018/1/25, 42, , , 
2018/1/26, 41, , , 
2018/1/27, 39, , , 
2018/1/28, 43, , 14, 3
2018/1/29, 51, , 13, 5
2018/1/30, 45, , 14, 4
2018/1/31, 45, , 19, 3
2018/2/1, 39, , 28, 4
2018/2/2, 55, , 17, 3
2018/2/3, 48, , 13, 2
2018/2/4, 42, , , 
2018/2/5, 42, , , 
2018/2/6, 44, , , 
2018/2/7, 47, , , 
2018/2/8, 45, , , 
2018/2/9, 52, , , 
2018/2/10, 55, , , 
2018/2/11, 64, , , 
2018/2/12, 54, , , 
2018/2/13, 44, , , 
2018/2/14, 37, , , 
2018/2/15, 50, , , 
2018/2/16, 60, , , 
2018/2/17, 44, , , 
2018/2/18, 36, , , 
2018/2/19, 49, , , 
2018/2/20, 49, , , 
2018/2/21, 61, , , 
2018/2/22, 49, , , 
2018/2/23, 25, , , 
2018/2/24, 28, , , 
2018/2/25, 45, , , 
2018/2/26, 33, , , 
2018/2/27, 39, , , 
2018/2/28, 34, , , 
2018/3/1, 41, , , 
2018/3/2, 55, , , 
2018/3/3, 21, , , 
2018/3/4, 32, , , 
2018/3/5, 24, , , 
2018/3/6, 25, , , 
2018/3/7, 30, , , 
2018/3/8, 17, , , 
2018/3/9, 34, , , 
2018/3/10, 38, , , 
2018/3/11, 33, , , 
2018/3/12, 32, , , 
2018/3/13, 20, , , 
2018/3/14, 23, , , 
2018/3/15, 25, , , 
2018/3/16, 40, , , 
2018/3/17, 39, , , 
2018/3/18, 27, , , 
2018/3/19, 30, , , 
2018/3/20, 32, , , 
2018/3/21, 21, , , 
2018/3/22, 21, , , 
2018/3/23, 26, , , 
2018/3/24, 29, , , 
2018/3/25, 28, , , 
2018/3/26, 26, , , 
2018/3/27, 30, , , 
2018/3/28, 27, , , 
2018/3/29, 49, , , 
2018/3/30, 56, , , 
2018/3/31, 50, , , 
2018/4/1, 21, , , 
2017/10/2, 22, , , 
2017/10/3, 37, , , 
2017/10/4, 29, , , 
2017/10/5, 37, , , 
2017/10/6, 51, , , 
2017/10/7, 51, , , 
2017/10/8, 39, , , 
2017/10/9, 23, , , 
2017/10/10, 28, , , 
2017/10/11, 31, , , 
2017/10/12, 37, , , 
2017/10/13, 18, , , 
2017/10/14, 21, , , 
2017/10/15, 31, , , 
2017/10/16, 29, , , 
2017/10/17, 20, , , 
2017/10/18, 25, , , 
2017/10/19, 45, , , 
2017/10/20, 43, , , 
2017/10/21, 37, , , 
2017/10/22, 47, , , 
2017/10/23, 47, , , 
2017/10/24, 29, , , 
2017/10/25, 34, , , 
2017/10/26, 30, , , 
2017/10/27, 36, , , 
2017/10/28, 41, , , 
2017/10/29, 34, , , 
2017/10/30, 11, , , 
2017/10/31, 25, , , 
2017/11/1, 38, , , 
2017/11/2, 37, , , 
2017/11/3, 43, , , 
2017/11/4, 37, , , 
2017/11/5, 24, , , 
2017/11/6, 25, , , 
2017/11/7, 35, , , 
2017/11/8, 24, , , 
2017/11/9, 27, , , 
2017/11/10, 31, , , 
2017/11/11, 26, , , 
2017/11/12, 24, , , 
2017/11/13, 48, , , 
2017/11/14, 49, , , 
2017/11/15, 39, , , 
2017/11/16, 29, , , 
2017/11/17, 28, , , 
2017/11/18, 27, , , 
2017/11/19, 37, , , 
2017/11/20, 35, , , 
2017/11/21, 35, , , 
2017/11/22, 49, , , 
2017/11/23, 44, , , 
2017/11/24, 32, , , 
2017/11/25, 46, , , 
2017/11/26, 53, , , 
2017/11/27, 37, , , 
2017/11/28, 40, , , 
2017/11/29, 35, , , 
2017/11/30, 43, , , 
2017/12/1, 35, , , 
2017/12/2, 43, , , 
2017/12/3, 38, , , 
2017/12/4, 51, , , 
2017/12/5, 64, , , 
2017/12/6, 34, , , 
2017/12/7, 35, , , 
2017/12/8, 39, , , 
2017/12/9, 41, , , 
2017/12/10, 42, , , 
2017/12/11, 49, , , 
2017/12/12, 46, , , 
2017/12/13, 39, , , 
2017/12/14, 32, , , 
2017/12/15, 44, , , 
2017/12/16, 43, , , 
2017/12/17, 52, , , 
2017/12/18, 43, , , 
2017/12/19, 61, , , 
2017/12/20, 49, , , 
2017/12/21, 46, , , 
2017/12/22, 39, , , 
2017/12/23, 52, , , 
2017/12/24, 50, , , 
2017/12/25, 33, , , 
2017/12/26, 45, , , 
2017/12/27, 43, , , 
2017/12/28, 52, , , 
2017/12/29, 43, , , 
2017/12/30, 49, , , 
2017/12/31, 57, , , 
2018/1/1, 47, , , 
2017/7/2, 30, , , 
2017/7/3, 34, , , 
2017/7/4, 45, , , 
2017/7/5, 56, , , 
2017/7/6, 55, , , 
2017/7/7, 21, , , 
2017/7/8, 20, , , 
2017/7/9, 34, , , 
2017/7/10, 31, , , 
2017/7/11, 39, , , 
2017/7/12, 47, , , 
2017/7/13, 53, , , 
2017/7/14, 59, , , 
2017/7/15, 23, , , 
2017/7/16, 24, , , 
2017/7/17, 29, , , 
2017/7/18, 39, , , 
2017/7/19, 30, , , 
2017/7/20, 55, , , 
2017/7/21, 69, , , 
2017/7/22, 41, , , 
2017/7/23, 61, , , 
2017/7/24, 59, , , 
2017/7/25, 16, , , 
2017/7/26, 18, , , 
2017/7/27, 18, , , 
2017/7/28, 36, , , 
2017/7/29, 53, , , 
2017/7/30, 15, , , 
2017/7/31, 24, , , 
2017/8/1, 43, , , 
2017/8/2, 62, , , 
2017/8/3, 71, , , 
2017/8/4, 57, , , 
2017/8/5, 31, , , 
2017/8/6, 24, , , 
2017/8/7, 22, , , 
2017/8/8, 36, , , 
2017/8/9, 29, , , 
2017/8/10, 51, , , 
2017/8/11, 64, , , 
2017/8/12, 26, , , 
2017/8/13, 27, , , 
2017/8/14, 32, , , 
2017/8/15, 41, , , 
2017/8/16, 51, , , 
2017/8/17, 45, , , 
2017/8/18, 37, , , 
2017/8/19, 40, , , 
2017/8/20, 35, , , 
2017/8/21, 38, , , 
2017/8/22, 60, , , 
2017/8/23, 58, , , 
2017/8/24, 30, , , 
2017/8/25, 43, , , 
2017/8/26, 32, , , 
2017/8/27, 31, , , 
2017/8/28, 39, , , 
2017/8/29, 31, , , 
2017/8/30, 16, , , 
2017/8/31, 29, , , 
2017/9/1, 48, , , 
2017/9/2, 20, , , 
2017/9/3, 17, , , 
2017/9/4, 19, , , 
2017/9/5, 50, , , 
2017/9/6, 67, , , 
2017/9/10, 19, , , 
2017/9/11, 15, , , 
2017/9/12, 27, , , 
2017/9/13, 44, , , 
2017/9/14, 46, , , 
2017/9/15, 49, , , 
2017/9/16, 45, , , 
2017/9/17, 59, , , 
2017/9/18, 56, , , 
2017/9/19, 19, , , 
2017/9/20, 35, , , 
2017/9/21, 24, , , 
2017/9/22, 38, , , 
2017/9/23, 23, , , 
2017/9/24, 32, , , 
2017/9/25, 56, , , 
2017/9/26, 54, , , 
2017/9/27, 27, , , 
2017/9/28, 29, , , 
2017/9/29, 18, , , 
2017/9/30, 26, , , 
2017/10/1, 22, , , 
2017/4/2, 20, , , 
2017/4/3, 30, , , 
2017/4/4, 42, , , 
2017/4/5, 31, , , 
2017/4/6, 42, , , 
2017/4/7, 26, , , 
2017/4/8, 23, , , 
2017/4/9, 26, , , 
2017/4/10, 33, , , 
2017/4/11, 58, , , 
2017/4/12, 65, , , 
2017/4/13, 63, , , 
2017/4/14, 23, , , 
2017/4/15, 28, , , 
2017/4/16, 33, , , 
2017/4/17, 46, , , 
2017/4/18, 25, , , 
2017/4/19, 23, , , 
2017/4/20, 22, , , 
2017/4/21, 40, , , 
2017/4/22, 22, , , 
2017/4/23, 21, , , 
2017/4/24, 20, , , 
2017/4/25, 29, , , 
2017/4/26, 9, , , 
2017/4/27, 30, , , 
2017/4/28, 41, , , 
2017/4/29, 63, , , 
2017/4/30, 40, , , 
2017/5/1, 19, , , 
2017/5/2, 37, , , 
2017/5/3, 33, , , 
2017/5/4, 23, , , 
2017/5/5, 32, , , 
2017/5/6, 27, , , 
2017/5/7, 30, , , 
2017/5/8, 17, , , 
2017/5/9, 24, , , 
2017/5/10, 26, , , 
2017/5/11, 29, , , 
2017/5/12, 22, , , 
2017/5/13, 17, , , 
2017/5/14, 5, , , 
2017/5/15, 25, , , 
2017/5/16, 22, , , 
2017/5/17, 30, , , 
2017/5/18, 62, , , 
2017/5/19, 66, , , 
2017/5/20, 50, , , 
2017/5/21, 21, , , 
2017/5/22, 20, , , 
2017/5/23, 21, , , 
2017/5/24, 32, , , 
2017/5/25, 31, , , 
2017/5/26, 4, , , 
2017/5/27, 17, , , 
2017/5/28, 23, , , 
2017/5/29, 24, , , 
2017/5/30, 15, , , 
2017/5/31, 23, , , 
2017/6/1, 32, , , 
2017/6/2, 32, , , 
2017/6/3, 33, , , 
2017/6/4, 20, , , 
2017/6/5, 22, , , 
2017/6/6, 43, , , 
2017/6/7, 13, , , 
2017/6/8, 17, , , 
2017/6/9, 25, , , 
2017/6/10, 41, , , 
2017/6/11, 51, , , 
2017/6/12, 53, , , 
2017/6/13, 60, , , 
2017/6/14, 64, , , 
2017/6/15, 37, , , 
2017/6/16, 23, , , 
2017/6/17, 25, , , 
2017/6/18, 31, , , 
2017/6/19, 40, , , 
2017/6/20, 40, , , 
2017/6/21, 23, , , 
2017/6/22, 39, , , 
2017/6/23, 57, , , 
2017/6/24, 68, , , 
2017/6/25, 23, , , 
2017/6/26, 29, , , 
2017/6/27, 21, , , 
2017/6/28, 45, , , 
2017/6/29, 25, , , 
2017/6/30, 38, , , 
2017/7/1, 50, , , 
2017/1/3, 51, , , 
2017/1/4, 26, , , 
2017/1/5, 47, , , 
2017/1/6, 48, , , 
2017/1/7, 55, , , 
2017/1/8, 49, , , 
2017/1/9, 56, , , 
2017/1/10, 52, , , 
2017/1/11, 53, , , 
2017/1/12, 52, , , 
2017/1/13, 57, , , 
2017/1/14, 47, , , 
2017/1/15, 43, , , 
2017/1/16, 55, , , 
2017/1/17, 59, , , 
2017/1/18, 64, , , 
2017/1/19, 39, , , 
2017/1/20, 55, , , 
2017/1/21, 43, , , 
2017/1/22, 65, , , 
2017/1/23, 61, , , 
2017/1/24, 22, , , 
2017/1/25, 32, , , 
2017/1/26, 44, , , 
2017/1/27, 58, , , 
2017/1/28, 40, , , 
2017/1/30, 50, , , 
2017/1/31, 45, , , 
2017/2/1, 44, , , 
2017/2/2, 48, , , 
2017/2/3, 45, , , 
2017/2/4, 48, , , 
2017/2/5, 47, , , 
2017/2/6, 51, , , 
2017/2/7, 57, , , 
2017/2/8, 62, , , 
2017/2/9, 57, , , 
2017/2/10, 33, , , 
2017/2/11, 40, , , 
2017/2/12, 64, , , 
2017/2/13, 39, , , 
2017/2/14, 38, , , 
2017/2/15, 44, , , 
2017/2/16, 52, , , 
2017/2/17, 42, , , 
2017/2/18, 50, , , 
2017/2/19, 57, , , 
2017/2/20, 56, , , 
2017/2/21, 36, , , 
2017/2/22, 37, , , 
2017/2/23, 53, , , 
2017/2/24, 74, , , 
2017/2/25, 52, , , 
2017/2/26, 31, , , 
2017/2/27, 34, , , 
2017/2/28, 51, , , 
2017/3/1, 49, , , 
2017/3/2, 48, , , 
2017/3/3, 37, , , 
2017/3/4, 28, , , 
2017/3/5, 29, , , 
2017/3/6, 33, , , 
2017/3/7, 47, , , 
2017/3/8, 65, , , 
2017/3/9, 52, , , 
2017/3/10, 48, , , 
2017/3/11, 26, , , 
2017/3/12, 34, , , 
2017/3/13, 36, , , 
2017/3/14, 41, , , 
2017/3/15, 23, , , 
2017/3/16, 35, , , 
2017/3/17, 43, , , 
2017/3/18, 45, , , 
2017/3/19, 43, , , 
2017/3/20, 34, , , 
2017/3/21, 41, , , 
2017/3/22, 49, , , 
2017/3/23, 38, , , 
2017/3/24, 38, , , 
2017/3/25, 56, , , 
2017/3/26, 63, , , 
2017/3/27, 31, , , 
2017/3/28, 43, , , 
2017/3/29, 36, , , 
2017/3/30, 24, , , 
2017/3/31, 30, , , 
2017/4/1, 12, , , 
2016/10/2, 7, , , 
2016/10/3, 26, , , 
2016/10/4, 46, , , 
2016/10/5, 23, , , 
2016/10/6, 26, , , 
2016/10/7, 49, , , 
2016/10/8, 47, , , 
2016/10/9, 38, , , 
2016/10/10, 11, , , 
2016/10/11, 16, , , 
2016/10/12, 26, , , 
2016/10/13, 32, , , 
2016/10/14, 44, , , 
2016/10/15, 19, , , 
2016/10/16, 25, , , 
2016/10/17, 35, , , 
2016/10/18, 59, , , 
2016/10/19, 64, , , 
2016/10/20, 41, , , 
2016/10/21, 36, , , 
2016/10/22, 30, , , 
2016/10/23, 17, , , 
2016/10/24, 27, , , 
2016/10/25, 34, , , 
2016/10/26, 39, , , 
2016/10/27, 20, , , 
2016/10/28, 25, , , 
2016/10/29, 29, , , 
2016/10/30, 36, , , 
2016/10/31, 53, , , 
2016/11/1, 23, , , 
2016/11/2, 31, , , 
2016/11/3, 47, , , 
2016/11/4, 54, , , 
2016/11/5, 25, , , 
2016/11/6, 39, , , 
2016/11/7, 28, , , 
2016/11/8, 26, , , 
2016/11/9, 55, , , 
2016/11/10, 56, , , 
2016/11/11, 27, , , 
2016/11/12, 36, , , 
2016/11/13, 27, , , 
2016/11/14, 46, , , 
2016/11/15, 54, , , 
2016/11/16, 40, , , 
2016/11/17, 52, , , 
2016/11/18, 53, , , 
2016/11/19, 63, , , 
2016/11/20, 42, , , 
2016/11/21, 18, , , 
2016/11/22, 24, , , 
2016/11/23, 40, , , 
2016/11/24, 33, , , 
2016/11/25, 37, , , 
2016/11/26, 63, , , 
2016/11/27, 43, , , 
2016/11/28, 33, , , 
2016/11/29, 43, , , 
2016/11/30, 38, , , 
2016/12/1, 48, , , 
2016/12/2, 31, , , 
2016/12/3, 31, , , 
2016/12/4, 36, , , 
2016/12/5, 37, , , 
2016/12/6, 43, , , 
2016/12/7, 44, , , 
2016/12/8, 46, , , 
2016/12/9, 45, , , 
2016/12/10, 41, , , 
2016/12/11, 43, , , 
2016/12/12, 40, , , 
2016/12/13, 52, , , 
2016/12/14, 53, , , 
2016/12/15, 48, , , 
2016/12/16, 43, , , 
2016/12/17, 48, , , 
2016/12/18, 48, , , 
2016/12/19, 62, , , 
2016/12/20, 39, , , 
2016/12/21, 44, , , 
2016/12/22, 64, , , 
2016/12/23, 60, , , 
2016/12/24, 50, , , 
2016/12/25, 52, , , 
2016/12/26, 47, , , 
2016/12/27, 39, , , 
2016/12/28, 46, , , 
2016/12/29, 44, , , 
2016/12/30, 47, , , 
2016/12/31, 47, , , 
2017/1/1, 39, , , 
2017/1/2, 67, , , 
2016/7/2, 41, , , 
2016/7/3, 22, , , 
2016/7/4, 30, , , 
2016/7/5, 54, , , 
2016/7/6, 28, , , 
2016/7/7, 56, , , 
2016/7/8, 64, , , 
2016/7/9, 45, , , 
2016/7/10, 20, , , 
2016/7/11, 15, , , 
2016/7/12, 19, , , 
2016/7/13, 34, , , 
2016/7/14, 31, , , 
2016/7/15, 46, , , 
2016/7/16, 53, , , 
2016/7/17, 46, , , 
2016/7/18, 41, , , 
2016/7/19, 51, , , 
2016/7/20, 21, , , 
2016/7/21, 24, , , 
2016/7/22, 42, , , 
2016/7/23, 58, , , 
2016/7/24, 34, , , 
2016/7/25, 38, , , 
2016/7/26, 49, , , 
2016/7/27, 23, , , 
2016/7/28, 35, , , 
2016/7/29, 64, , , 
2016/7/30, 50, , , 
2016/7/31, 57, , , 
2016/8/1, 39, , , 
2016/8/2, 41, , , 
2016/8/3, 45, , , 
2016/8/4, 41, , , 
2016/8/5, 35, , , 
2016/8/6, 30, , , 
2016/8/7, 37, , , 
2016/8/8, 20, , , 
2016/8/9, 39, , , 
2016/8/10, 41, , , 
2016/8/11, 37, , , 
2016/8/12, 47, , , 
2016/8/13, 41, , , 
2016/8/14, 54, , , 
2016/8/15, 32, , , 
2016/8/16, 34, , , 
2016/8/17, 45, , , 
2016/8/18, 13, , , 
2016/8/19, 43, , , 
2016/8/20, 43, , , 
2016/8/21, 37, , , 
2016/8/22, 27, , , 
2016/8/23, 10, , , 
2016/8/24, 26, , , 
2016/8/25, 40, , , 
2016/8/26, 37, , , 
2016/8/27, 45, , , 
2016/8/28, 32, , , 
2016/8/29, 27, , , 
2016/8/30, 25, , , 
2016/8/31, 31, , , 
2016/9/1, 43, , , 
2016/9/2, 51, , , 
2016/9/3, 14, , , 
2016/9/4, 20, , , 
2016/9/5, 14, , , 
2016/9/6, 14, , , 
2016/9/7, 15, , , 
2016/9/8, 26, , , 
2016/9/9, 55, , , 
2016/9/10, 51, , , 
2016/9/11, 57, , , 
2016/9/12, 25, , , 
2016/9/13, 19, , , 
